Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Samosa Chaat,469,2.36,65.66,9.45,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,['Weight_Gain']
Buckwheat,404,29.72,6.53,7.58,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Favor,South Indian,"['Joint_Pain', 'Hair_Growth']"
Thali,201,19.1,30.34,13.89,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,"['Diabetes', 'Digestion']"
Thali,264,11.8,35.51,16.37,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Immunity', 'Skin_Health']"
Raj Kachori,278,33.75,8.27,8.66,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Neutral,Neutral,Favor,West Indian,"['Stress', 'General_Wellness', 'Weight_Loss']"
Cod,150,36.51,65.33,2.77,Amla (Sour),Ushna (Hot),Katu (Pungent),Neutral,Favor,Avoid,East Indian,"['Joint_Pain', 'Immunity', 'Skin_Health']"
Couscous,79,8.16,41.48,25.98,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Avoid,West Indian,['Stress']
Passion Fruit,485,26.91,22.94,10.18,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,['Immunity']
Aloe Vera Juice,358,34.67,39.37,9.55,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Weight_Loss', 'Digestion']"
Fish Curry,172,31.31,22.11,32.32,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,"['Weight_Gain', 'Acidity']"
Jackfruit,599,38.0,32.68,5.18,Amla (Sour),Shita (Cold),Amla (Sour),Neutral,Favor,Favor,West Indian,"['Hair_Growth', 'Weight_Gain', 'Diabetes']"
Rice,252,6.08,12.59,0.89,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Neutral,East Indian,['Weight_Loss']
Banana,59,22.67,30.39,16.83,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,South Indian,"['Diabetes', 'Immunity', 'Weight_Gain']"
Shrimp,355,37.32,52.13,14.13,Madhura (Sweet),Shita (Cold),Katu (Pungent),Neutral,Neutral,Avoid,West Indian,"['Weight_Gain', 'Acidity']"
Pomegranate,480,36.03,14.46,4.75,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,['Acidity']
Cashew,105,34.01,59.18,3.19,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,West Indian,"['Weight_Loss', 'Digestion', 'Skin_Health']"
Onion Bhaji,493,36.72,67.47,10.77,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Digestion', 'Immunity', 'Skin_Health']"
Masala Dosa,253,22.22,41.18,24.75,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['General_Wellness', 'Immunity']"
Pumpkin,522,22.28,75.8,14.17,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Stress', 'Acidity']"
Green Cardamom,196,39.43,75.93,7.3,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,"['Immunity', 'Weight_Loss']"
Goat Cheese,521,22.04,35.21,20.81,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,"['Stress', 'Weight_Gain']"
Lemon Grass,172,2.7,56.72,10.9,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Skin_Health', 'Hair_Growth', 'Weight_Loss']"
Avocado,306,33.36,41.39,19.25,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,West Indian,['Immunity']
Coconut Oil,233,28.71,21.21,6.83,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,['Diabetes']
Saffron,436,34.01,62.05,6.3,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Weight_Loss', 'Stress', 'Weight_Gain']"
Baingan Bharta,383,25.22,8.01,31.6,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,North Indian,['Stress']
Sambar,436,5.61,9.07,25.53,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Weight_Loss', 'Digestion', 'General_Wellness']"
Dark Chocolate,146,34.31,20.96,23.57,Katu (Pungent),Shita (Cold),Amla (Sour),Neutral,Favor,Avoid,South Indian,"['Heart_Health', 'Digestion']"
Nectarine,552,38.54,62.72,17.35,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,North Indian,"['Diabetes', 'Joint_Pain']"
Quinoa,70,6.53,21.84,17.76,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,West Indian,"['Skin_Health', 'Weight_Loss']"
Onion,356,23.76,42.54,30.02,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,"['Hair_Growth', 'Acidity']"
Potato,391,5.57,76.35,21.97,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,West Indian,['Acidity']
Handvo,57,10.44,66.85,21.49,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,['Immunity']
Ragi,144,36.35,29.01,23.62,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,East Indian,"['Immunity', 'Acidity']"
Triphala,218,29.72,31.05,24.0,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,North Indian,['Diabetes']
Sunflower Oil,187,19.1,29.95,15.62,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Weight_Loss', 'Diabetes']"
Green Chilli,144,20.13,53.17,1.82,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Weight_Loss', 'Immunity']"
Dum Aloo,310,4.8,9.01,32.85,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Immunity', 'Heart_Health', 'Weight_Loss']"
Cranberry,341,24.13,14.51,16.44,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Neutral,Avoid,West Indian,"['Skin_Health', 'General_Wellness', 'Weight_Gain']"
Mushroom,272,5.5,29.5,15.58,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,South Indian,"['Diabetes', 'Heart_Health']"
Corn,232,19.58,65.49,6.7,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['General_Wellness', 'Hair_Growth']"
Bell Pepper,483,24.78,17.85,26.09,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Weight_Gain', 'Stress']"
Almond,505,23.93,75.22,30.4,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,South Indian,"['Joint_Pain', 'Weight_Loss']"
Parsley,190,37.44,52.44,10.45,Katu (Pungent),Shita (Cold),Katu (Pungent),Neutral,Favor,Favor,South Indian,['Immunity']
Mysore Pak,119,34.52,56.07,6.94,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Neutral,Favor,East Indian,['Weight_Gain']
Spinach,80,21.61,24.01,32.95,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Avoid,West Indian,"['Stress', 'Acidity']"
Brussels Sprouts,209,6.77,66.02,1.73,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,North Indian,"['Hair_Growth', 'General_Wellness']"
Rajma Chawal,218,13.52,57.35,27.76,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,North Indian,"['Weight_Gain', 'Digestion', 'Acidity']"
Cinnamon,195,39.41,27.33,21.19,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,"['Stress', 'General_Wellness']"
Farro,141,23.44,42.06,25.75,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Acidity', 'Heart_Health', 'Diabetes']"
Strawberry,212,23.93,21.59,9.78,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Avoid,West Indian,"['Acidity', 'Diabetes', 'Skin_Health']"
Kashmiri Pulao,587,6.61,13.53,14.68,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,East Indian,"['Weight_Loss', 'Heart_Health', 'Digestion']"
Dal Tadka,488,6.3,31.35,34.94,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,North Indian,"['Hair_Growth', 'General_Wellness']"
Flax Seeds,416,4.17,72.03,18.78,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['Heart_Health', 'Weight_Gain', 'Stress']"
Persimmon,171,21.62,16.53,32.3,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,West Indian,"['Diabetes', 'Immunity', 'Heart_Health']"
Cumin,563,23.27,77.08,22.15,Lavana (Salty),Shita (Cold),Katu (Pungent),Neutral,Favor,Avoid,South Indian,"['Hair_Growth', 'Weight_Gain', 'Digestion']"
Gulab Jamun,554,27.57,68.23,14.26,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,East Indian,['Weight_Loss']
Dum Aloo,211,33.4,22.07,18.59,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,North Indian,"['Diabetes', 'Immunity']"
Handvo,75,28.79,38.82,3.98,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Immunity', 'Diabetes', 'Heart_Health']"
Green Gram,373,11.77,76.15,6.36,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Hair_Growth', 'Digestion']"
Lobster,91,20.47,28.53,5.39,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Neutral,West Indian,"['Digestion', 'General_Wellness']"
Black Pepper,393,36.4,11.23,7.09,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,"['Diabetes', 'Hair_Growth', 'Stress']"
Cranberry,575,6.77,63.99,1.12,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,South Indian,['Diabetes']
Orange,463,6.82,75.02,30.42,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,East Indian,"['Immunity', 'General_Wellness']"
Raita,356,3.38,46.34,24.95,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,West Indian,"['Immunity', 'General_Wellness']"
Orange,415,31.77,77.21,4.87,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Heart_Health', 'Hair_Growth']"
Bajra,57,9.53,15.06,2.45,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,East Indian,"['Digestion', 'Stress', 'Joint_Pain']"
Jowar Roti,513,30.79,48.68,24.27,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,South Indian,['Hair_Growth']
White Chocolate,301,29.8,32.52,4.16,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,South Indian,"['Joint_Pain', 'Stress']"
Chana Dal,439,2.17,28.5,18.67,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Neutral,South Indian,"['Immunity', 'Joint_Pain']"
Poha,534,3.54,34.31,27.78,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,South Indian,['General_Wellness']
Cheddar,260,2.53,54.28,13.1,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,North Indian,['Weight_Loss']
Pomegranate,314,2.96,59.22,28.46,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,['Digestion']
Chickpeas,227,33.48,64.12,9.44,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['General_Wellness', 'Joint_Pain', 'Heart_Health']"
Rajma Chawal,360,4.99,17.89,2.54,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,['Heart_Health']
Chia Seeds,219,31.86,39.68,32.96,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Diabetes', 'Acidity', 'Digestion']"
Bell Pepper,447,38.57,67.56,17.39,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,West Indian,['General_Wellness']
Rajma Chawal,215,38.78,69.72,15.98,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Hair_Growth', 'Joint_Pain']"
Bhindi Masala,141,27.49,57.73,10.56,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Favor,Neutral,East Indian,"['Heart_Health', 'Immunity', 'Acidity']"
Dal Tadka,424,24.17,45.38,16.18,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,West Indian,['General_Wellness']
Walnut,180,16.37,40.49,22.25,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,['Acidity']
Millet,256,12.26,20.51,23.06,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Favor,Neutral,East Indian,"['Weight_Loss', 'Joint_Pain']"
Pani Puri,468,34.05,20.28,26.13,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Neutral,North Indian,"['Weight_Gain', 'Heart_Health', 'Stress']"
Dal Bati Churma,281,29.41,55.78,18.53,Amla (Sour),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,North Indian,"['Digestion', 'Diabetes', 'Hair_Growth']"
Vegetable Korma,473,37.76,70.06,10.42,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Diabetes', 'Digestion', 'Immunity']"
Persimmon,390,35.59,38.91,30.07,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Neutral,Favor,North Indian,['Diabetes']
Kidney Beans,565,16.88,51.64,33.92,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,['Immunity']
Dahi Puri,281,17.13,43.52,28.21,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Favor,South Indian,['Acidity']
Black Salt,230,27.99,64.4,10.6,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,North Indian,"['Weight_Gain', 'Immunity']"
Yogurt,261,10.2,16.9,11.29,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,['Acidity']
Sooji ka Halwa,214,4.52,32.51,14.39,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,North Indian,"['Digestion', 'Heart_Health']"
Buckwheat,363,36.31,34.59,34.35,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Neutral,West Indian,['Weight_Loss']
Custard Apple,324,19.76,23.01,31.36,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['Weight_Gain', 'Digestion', 'Acidity']"
Coconut Burfi,342,37.23,49.14,14.57,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,North Indian,['Weight_Loss']
Persimmon,292,23.06,46.91,24.89,Amla (Sour),Shita (Cold),Katu (Pungent),Neutral,Favor,Favor,South Indian,"['Hair_Growth', 'Acidity', 'Skin_Health']"
Brussels Sprouts,318,32.71,18.21,21.41,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,['Hair_Growth']
Flax Seeds,139,38.59,49.21,16.76,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,['Weight_Gain']
Yogurt,594,3.2,24.39,31.57,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Neutral,East Indian,"['Hair_Growth', 'Immunity', 'Skin_Health']"
Almond,505,19.26,33.94,34.38,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Weight_Gain', 'Stress', 'Hair_Growth']"
Olive Oil,563,30.42,19.77,27.32,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Stress', 'Weight_Gain']"
Fish Curry,96,11.68,24.74,19.69,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['General_Wellness', 'Stress']"
Puran Poli,468,9.03,13.52,12.28,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Heart_Health', 'Diabetes']"
Cilantro,137,12.72,21.41,18.51,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['Weight_Gain']
Carrot,94,22.3,68.14,20.63,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,East Indian,"['Digestion', 'Weight_Loss', 'Hair_Growth']"
Fennel Seeds,586,5.14,14.46,6.9,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Neutral,South Indian,['Weight_Loss']
Papaya,95,25.39,5.96,24.49,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,East Indian,"['Digestion', 'Joint_Pain', 'Heart_Health']"
Kashmiri Pulao,65,15.54,5.55,2.6,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,West Indian,['Digestion']
Rock Salt,483,25.06,52.01,22.51,Katu (Pungent),Ushna (Hot),Amla (Sour),Neutral,Avoid,Avoid,South Indian,"['Acidity', 'Immunity']"
Coconut,342,26.81,42.67,25.39,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Neutral,East Indian,['Digestion']
Lemon,595,30.72,77.33,4.45,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,['Weight_Loss']
Apple,558,14.26,53.37,29.88,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Joint_Pain', 'Acidity']"
Strawberry,370,16.97,24.9,6.3,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,['Joint_Pain']
Ragi,558,23.23,51.87,3.83,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Neutral,North Indian,"['Heart_Health', 'Digestion']"
Coconut Oil,118,24.02,26.5,13.16,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Avoid,South Indian,['General_Wellness']
Barley,106,21.29,65.6,13.2,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Stress', 'Digestion']"
Mutton Curry,323,11.76,39.21,1.54,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Neutral,Neutral,East Indian,"['Digestion', 'Heart_Health', 'Joint_Pain']"
Almond,95,9.64,74.19,29.92,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Neutral,West Indian,['Diabetes']
Fafda,402,9.77,30.35,16.71,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,['General_Wellness']
Flax Seeds,409,21.5,70.41,10.47,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,West Indian,"['Digestion', 'Joint_Pain', 'Weight_Loss']"
Samosa,296,28.77,65.21,8.74,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,West Indian,"['Heart_Health', 'Joint_Pain']"
Rogan Josh,66,22.33,56.72,23.93,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,West Indian,"['General_Wellness', 'Immunity']"
Millet,278,17.55,45.81,19.25,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Immunity', 'Joint_Pain']"
Lemon Grass,89,10.32,42.24,10.06,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Immunity', 'Hair_Growth']"
Peanut Oil,564,18.31,35.59,4.43,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,North Indian,['Skin_Health']
Potato,297,30.07,76.99,23.91,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,South Indian,"['Weight_Loss', 'Weight_Gain', 'Heart_Health']"
Cod,571,37.8,9.82,14.38,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Neutral,Avoid,North Indian,"['Diabetes', 'Acidity']"
Black-eyed Peas,60,35.83,33.8,25.92,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['General_Wellness', 'Weight_Gain', 'Immunity']"
Dal Bati Churma,454,11.01,38.6,7.02,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Skin_Health', 'Stress', 'Acidity']"
Lemon Grass,264,31.35,37.6,11.91,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Digestion', 'Acidity']"
Sooji ka Halwa,297,12.56,79.75,31.32,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,['Digestion']
Onion,551,36.29,70.68,28.15,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,East Indian,['Weight_Gain']
Bell Pepper,229,24.88,41.98,27.61,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Diabetes', 'Immunity']"
Papaya,256,28.44,62.43,15.72,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,South Indian,"['Diabetes', 'Acidity']"
Millet,220,24.96,70.99,11.7,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['Immunity', 'Hair_Growth']"
Radish,74,17.93,19.55,10.33,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,East Indian,"['Hair_Growth', 'General_Wellness', 'Diabetes']"
Onion,259,4.16,7.21,6.65,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,East Indian,"['Joint_Pain', 'Weight_Gain', 'Weight_Loss']"
Carrot,298,31.04,45.47,4.95,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,['Digestion']
Matar Paneer,69,30.65,13.28,16.64,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,['Heart_Health']
Eggplant,325,33.49,66.72,7.02,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Neutral,Favor,Avoid,East Indian,"['Stress', 'Digestion']"
Star Anise,230,7.73,64.45,31.12,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,West Indian,['Hair_Growth']
Rosemary,570,29.19,59.12,10.24,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Joint_Pain', 'Heart_Health']"
Brown Rice,201,8.09,5.58,26.48,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Weight_Loss', 'Acidity', 'Immunity']"
Asparagus,435,4.82,39.85,21.74,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,South Indian,"['Diabetes', 'Weight_Loss', 'Weight_Gain']"
Chutney,258,10.31,23.22,22.66,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Weight_Gain', 'Joint_Pain', 'Stress']"
Farro,229,15.8,68.35,14.93,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Stress', 'General_Wellness', 'Digestion']"
Upma,114,37.96,60.0,22.49,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,South Indian,['Hair_Growth']
Papad,459,35.86,42.21,28.95,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Stress', 'Joint_Pain']"
Cloves,579,18.0,10.14,18.12,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['Weight_Gain', 'Acidity']"
Goat Cheese,339,20.63,31.87,29.06,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,North Indian,"['Joint_Pain', 'Immunity', 'Digestion']"
Parsley,326,12.59,40.32,32.17,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,['Joint_Pain']
Dates,502,37.58,6.39,15.6,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,South Indian,['Acidity']
Jalebi,441,38.27,40.89,24.62,Amla (Sour),Ushna (Hot),Amla (Sour),Neutral,Neutral,Neutral,South Indian,['Skin_Health']
Litchi,519,31.74,39.15,24.58,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,"['Digestion', 'Diabetes']"
Black Salt,325,2.78,77.18,16.45,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,['Hair_Growth']
Triphala,544,31.67,21.13,25.19,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Neutral,South Indian,"['Digestion', 'Joint_Pain']"
Guava,356,12.33,17.73,25.29,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Heart_Health', 'General_Wellness']"
Pumpkin,497,31.75,60.97,21.36,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,"['Joint_Pain', 'Acidity', 'Stress']"
Crab,276,31.62,48.14,34.49,Lavana (Salty),Shita (Cold),Amla (Sour),Neutral,Favor,Avoid,North Indian,"['General_Wellness', 'Stress', 'Skin_Health']"
Avocado,183,30.71,25.03,16.95,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Hair_Growth', 'Digestion']"
Arugula,397,5.63,54.42,22.83,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,['Weight_Loss']
Thyme,271,38.92,39.98,11.03,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Avoid,Neutral,West Indian,['General_Wellness']
Tofu,139,15.85,31.48,22.45,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Neutral,Neutral,West Indian,"['Hair_Growth', 'Digestion']"
Samosa Chaat,318,35.82,23.37,25.67,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,East Indian,['Weight_Gain']
Lassi,120,33.86,76.22,30.49,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,['Acidity']
Sweet Potato,446,8.63,26.45,18.33,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Diabetes', 'Immunity', 'Digestion']"
Salmon,190,35.87,65.29,6.85,Tikta (Bitter),Shita (Cold),Amla (Sour),Neutral,Avoid,Avoid,East Indian,['Hair_Growth']
